Outcome,2013,2014,2015,2016,2017,2018,2019
TKO,50.00,48.44,53.13,56.25,46.97,54.69,40.63
Withdrawal,35.94,39.06,29.69,26.56,30.30,32.81,32.81
Deus ex Machina,1.56,1.56,3.13,4.69,10.61,4.69,12.50
Other,12.50,10.94,14.06,12.50,12.12,7.81,14.06
