Region,US K12 Student Population,K12 Student Use of March Mammal Madness
South Atlantic,0.191,0.191
South Central,0.203,0.158
Mountain West & Midwest Plains,0.146,0.161
Great Lakes,0.143,0.197
Northeast & Mid-Atlantic,0.156,0.152
Pacific,0.161,0.14
